,Gaia2,RAdeg,DEdeg,PDis,plx,e_plx,Gmag,e_Gmag,Bpmag,e_Bpmag,Rpmag,e_Rpmag,Sep,pmRA,e_pmRA,pmDE,e_pmDE,Age,PreAge,CoolAge,[Fe/H],DM,Av,e_Age,e_PreAge,e_CoolAge,e_[Fe/H],e_DM,e_Av,Nb,PCont
630,4431861239599129856,247.202644,0.9999680000000001,0.00279,4.752,67.133,15.894,0.0008,17.22,0.006999999999999999,14.757,0.002,2115.512,37.434,0.11,-33.986999999999995,0.071,5.939,5.247000000000001,0.6920000000000001,-0.853,6.861000000000001,0.07400000000000001,2.358,2.37,0.02,0.623,0.031,0.01,7.0,0.0
631,2405289128662066560,347.808691,-18.162233999999998,0.02069,5.593999999999999,57.754,16.477,0.0012,17.762999999999998,0.011000000000000001,15.359000000000002,0.003,13316.2833,-42.828,0.145,-20.849,0.13,2.411,1.624,0.787,-0.7490000000000001,6.3629999999999995,0.055999999999999994,0.541,0.5579999999999999,0.028999999999999998,0.628,0.036000000000000004,0.01,7.0,0.12
632,3598839859954792832,177.446,-5.493833,0.0038299999999999996,4.803,122.925,14.927999999999999,0.0004,15.837,0.003,13.995999999999999,0.001,2868.2747,-21.483,0.075,9.44,0.04,2.739,1.1340000000000001,1.605,-0.721,6.7,0.11800000000000001,0.428,0.465,0.061,0.654,0.017,0.013999999999999999,7.0,0.002
633,1495234113246413440,208.574023,36.250685,0.00193,5.221,53.825,17.061,0.001,18.757,0.019,15.78,0.002,1328.826,-79.153,0.125,16.929000000000002,0.12,1.339,0.428,0.9109999999999999,-0.6829999999999999,6.4670000000000005,0.047,0.087,0.10300000000000001,0.045,0.617,0.038,0.009000000000000001,7.0,0.0
634,1749539058124175104,309.325711,8.813227000000001,0.00106,5.832000000000001,55.001999999999995,16.699,0.0008,18.094,0.016,15.514000000000001,0.002,654.6899,-30.732,0.18600000000000003,-17.574,0.132,6.334,4.928999999999999,1.406,-0.82,6.417000000000001,0.086,2.29,2.326,0.053,0.6409999999999999,0.036000000000000004,0.011000000000000001,7.0,0.0
635,1154831944715602432,225.544712,3.528207,0.0052,4.357,107.105,14.663,0.0005,15.549000000000001,0.003,13.744000000000002,0.001,4293.3451,-16.845,0.062,5.372000000000001,0.069,1.7719999999999998,0.7090000000000001,1.063,-0.685,6.973,0.095,0.214,0.23399999999999999,0.035,0.6709999999999999,0.021,0.012,7.0,0.008
636,703337011102148480,131.0725,27.031304,0.00551,5.155,31.555999999999997,17.859,0.0011,19.436,0.037000000000000005,16.589000000000002,0.006,3848.332,-37.707,0.294,7.353,0.226,4.686,3.725,0.96,-0.7759999999999999,6.581,0.075,1.979,2.019,0.055999999999999994,0.634,0.061,0.01,7.0,0.006
637,3090108985265638656,124.703554,1.669068,0.00466,4.335,94.727,9.92,0.0003,10.21,0.001,9.504,0.001,3873.4054,-18.375,0.07200000000000001,-7.255,0.046,1.261,0.5920000000000001,0.669,-0.687,6.921,0.23399999999999999,0.18600000000000003,0.19699999999999998,0.022000000000000002,0.631,0.023,0.012,7.0,0.006
638,1486787317028147968,221.101121,37.642745,0.00231,5.523,47.603,18.059,0.0014,19.689,0.042,16.78,0.008,1507.154,-35.355,0.161,-14.1,0.187,1.7919999999999998,0.33799999999999997,1.454,-0.627,6.314,0.043,0.08800000000000001,0.08,0.11,0.6409999999999999,0.045,0.006999999999999999,7.0,0.0
639,876657663256099712,123.13498899999999,29.488325,0.00137,4.422,28.025,17.692999999999998,0.0016,19.295,0.034,16.47,0.005,1114.7485,-16.621,0.22399999999999998,-56.081,0.149,3.0239999999999996,1.676,1.348,-0.7020000000000001,6.914,0.135,0.883,0.9620000000000001,0.122,0.64,0.076,0.012,7.0,0.0
640,2530996915836605824,11.416028,-0.403871,0.0017699999999999999,4.8069999999999995,71.881,15.814,0.0009,17.066,0.006999999999999999,14.692,0.003,1327.4048,31.553,0.131,7.23,0.07400000000000001,2.807,2.097,0.71,-0.745,6.642,0.053,0.895,0.9079999999999999,0.023,0.636,0.028999999999999998,0.009000000000000001,7.0,0.0
641,3550167228971718528,162.851866,-21.898820999999998,0.00151,6.728,67.279,16.535999999999998,0.0009,17.863,0.011000000000000001,15.380999999999998,0.002,808.2501,-83.37700000000001,0.154,50.577,0.141,3.966,2.8960000000000004,1.07,-0.7509999999999999,6.08,0.08900000000000001,1.301,1.324,0.037000000000000005,0.636,0.032,0.011000000000000001,7.0,0.0
642,1914556408920132864,345.636769,35.243390999999995,0.00125,4.885,85.291,15.933,0.0005,17.238,0.005,14.806,0.001,922.3639,-14.192,0.06,-37.928000000000004,0.073,2.032,1.416,0.616,-0.752,6.89,0.10800000000000001,0.532,0.541,0.018000000000000002,0.64,0.026000000000000002,0.011000000000000001,7.0,0.0
643,1845792127090706304,313.533899,27.574503999999997,0.00139,5.237,74.833,16.262,0.0006,17.584,0.01,15.092,0.002,956.0731,-16.695999999999998,0.1,-50.838,0.08199999999999999,3.1210000000000004,2.5669999999999997,0.555,-0.728,6.92,0.035,1.328,1.339,0.018000000000000002,0.642,0.027999999999999997,0.012,7.0,0.0
644,2419526502867280896,358.739869,-13.72735,0.0018,4.777,93.40100000000001,14.364,0.0004,15.258,0.003,13.439,0.001,1356.002,44.111000000000004,0.083,5.019,0.051,2.349,1.911,0.439,-0.759,6.695,0.075,0.612,0.615,0.011000000000000001,0.64,0.023,0.01,7.0,0.0
645,1718710573146454400,204.241602,80.161563,0.0015,5.511,99.704,16.352,0.0008,17.76,0.011000000000000001,15.173,0.002,981.433,-59.699,0.111,3.089,0.086,1.58,0.841,0.7390000000000001,-0.701,6.39,0.043,0.251,0.261,0.021,0.665,0.022000000000000002,0.01,7.0,0.0
646,6320559570277363328,227.504259,-8.51784,0.004379999999999999,5.724,40.191,17.364,0.0016,18.926,0.028999999999999998,16.107,0.004,2756.3799,-37.253,0.271,-29.724,0.244,3.565,2.51,1.055,-0.736,6.484,0.09699999999999999,1.122,1.157,0.053,0.632,0.05,0.011000000000000001,7.0,0.001
