designation,source_id,bp_rp,bp_g,g_rp,l,b
Gaia DR2 299602457414750848,299602457414750848,2.1528072,1.1031017,1.0497055,141.76317599900588,-31.989823073710706
Gaia DR2 1641354810530931712,1641354810530931712,2.2578478,1.1781578,1.07969,99.9670496739053,44.37656518533141
Gaia DR2 2645749439734108288,2645749439734108288,2.1711855,1.1173382,1.0538473,83.64849352708156,-54.61532992398925
Gaia DR2 1722693657097020800,1722693657097020800,1.1232376,0.491601,0.6316366,115.76420722432671,31.941336712525082
Gaia DR2 3955159791462410752,3955159791462410752,2.2865162,1.2082138,1.0783024,302.1441336190795,85.22312296025876
Gaia DR2 3074742111972735488,3074742111972735488,2.3786001,1.2576017,1.1209984,227.76502841838425,27.792922135607835
Gaia DR2 5100749516312675456,5100749516312675456,1.4232674,0.65638065,0.7668867,212.0282037075626,-52.43899474159167
Gaia DR2 1200676459993836416,1200676459993836416,2.1560774,1.1062527,1.0498247,34.689268083182206,41.361794725057806
Gaia DR2 2385379897956249856,2385379897956249856,2.1560326,1.1163521,1.0396805,41.4380828634797,-69.41265601834189
Gaia DR2 5755152517605803264,5755152517605803264,1.3030138,0.58804893,0.71496487,231.75142539386255,20.35964004298427
Gaia DR2 2892274858810328320,2892274858810328320,1.6271105,0.77399254,0.85311794,240.32482733939023,-19.13896922765213
Gaia DR2 4602708647724147968,4602708647724147968,2.5316458,1.3770256,1.1546202,56.40066951975535,23.651564831889406
Gaia DR2 2859837204204838400,2859837204204838400,2.3325768,1.2309742,1.1016026,112.81276068088087,-34.08464676574285
Gaia DR2 690722073678423808,690722073678423808,2.4317532,1.2929268,1.1388264,199.47347610257225,34.75060684967623
Gaia DR2 1087968237449070592,1087968237449070592,1.3556194,0.61369896,0.7419205,154.54749916957388,29.404520936157603
Gaia DR2 4438147044497125248,4438147044497125248,2.4193678,1.2849693,1.1343985,19.312246785723197,37.45087580393561
Gaia DR2 2322162721003354880,2322162721003354880,1.1692677,0.51902866,0.650239,28.452488082846475,-83.69179696174535
Gaia DR2 2289452937273359232,2289452937273359232,1.7152529,0.82745457,0.8877983,107.49940847080772,24.5531916936183
Gaia DR2 1418529811270543488,1418529811270543488,1.8223028,0.89038086,0.93192196,84.61451995302106,29.815659855646103
Gaia DR2 6767291900560250752,6767291900560250752,2.1162243,1.0767994,1.0394249,14.744597647012268,-22.62806943047841
Gaia DR2 3570152880030572288,3570152880030572288,2.3796005,1.2731705,1.10643,290.8540272863203,48.38462788325356
Gaia DR2 3181694975261198080,3181694975261198080,1.8164616,0.8861265,0.93033504,208.86249096001413,-30.662290247909713
Gaia DR2 3567855858505279872,3567855858505279872,2.6824875,1.4812641,1.2012234,287.2770963572851,44.75663668994388
Gaia DR2 2157634171846563712,2157634171846563712,2.147068,1.0999432,1.0471249,88.3214954814999,27.27647760108823
Gaia DR2 1689160987694959488,1689160987694959488,2.6229687,1.424593,1.1983757,124.65879966920106,46.32503211160481
Gaia DR2 1449836068409122560,1449836068409122560,2.4282131,1.2901516,1.1380615,45.70369057182069,80.93548275636861
Gaia DR2 584616487177143424,584616487177143424,1.6644869,0.7945576,0.8699293,220.88903565207656,31.358421651267818
