,Gaia2,RAdeg,DEdeg,PDis,plx,e_plx,Gmag,e_Gmag,Bpmag,e_Bpmag,Rpmag,e_Rpmag,Sep,pmRA,e_pmRA,pmDE,e_pmDE,RVel,e_RVel,Age,PreAge,CoolAge,[Fe/H],DM,Av,e_Age,e_PreAge,e_CoolAge,e_[Fe/H],e_DM,e_Av,Nb,PCont
2811,1843328,203.773051,48.720288,0.01753,6.643,278.081,9.263,0.0002,9.577,0.001,8.817,0.001,9702.2125,-85.835,0.034,91.216,0.033,-51.814,0.326,2.646,0.879,1.768,-0.68,5.908,0.034,0.22,0.237,0.044,0.663,0.008,0.006,7,0.082
2812,904192,229.170921,22.828296,0.00921,6.648,84.816,16.335,0.0009,17.867,0.008,15.125,0.003,4783.2683,36.592,0.133,-66.156,0.14,0.0,0.0,1.947,0.415,1.533,-0.686,6.021,0.09,0.087,0.099,0.074,0.621,0.024,0.01,7,0.009
2813,1169024,311.579578,-7.249606,0.02313,6.687,29.67,18.735,0.002,20.365,0.087,17.374,0.014,13551.1048,58.532,0.385,-48.331,0.283,0.0,0.0,1.489,0.419,1.07,-0.717,6.11,0.037,0.089,0.129,0.095,0.622,0.069,0.01,7,0.123
2814,1415936,64.608918,6.677899,0.00598,6.696,75.206,15.83,0.0009,17.389,0.009,14.619,0.003,3045.6841,28.308,0.174,-9.08,0.112,0.0,0.0,8.994,8.364,0.63,-0.977,6.46,0.062,2.841,2.849,0.016,0.583,0.031,0.018,7,0.003
2815,713216,18.033637,4.916251,0.00365,6.697,127.993,9.536,0.0003,9.802,0.002,9.144,0.002,1881.7389,23.239,0.118,16.565,0.07,26.542,0.202,3.473,3.38,0.093,-0.802,5.952,0.093,1.676,1.674,0.005,0.639,0.018,0.009,7,0.0
2816,107136,165.325615,60.674252,0.00373,6.7,253.841,11.862,0.0002,12.33,0.001,11.257,0.001,1995.5058,-21.282,0.036,-10.826,0.041,8.457,0.625,2.22,2.101,0.119,-0.763,5.891,0.032,0.637,0.636,0.004,0.643,0.008,0.005,7,0.0
2817,5546112,297.132658,-23.275026,0.01684,6.718,87.878,16.603,0.0011,18.162,0.019,15.392,0.002,9059.2134,13.288,0.137,-4.574,0.103,0.0,0.0,7.247,6.834,0.412,-0.814,6.197,0.037,2.554,2.557,0.01,0.596,0.024,0.009,7,0.074
2818,4691968,116.085168,0.903705,0.01081,6.755,108.27,15.911,0.0007,17.117,0.004,14.834,0.001,5664.5243,28.363,0.104,1.007,0.067,0.0,0.0,5.931,5.086,0.845,-0.747,6.115,0.064,1.957,1.965,0.016,0.625,0.02,0.01,7,0.023
2819,648832,35.783488,14.139579,0.00399,6.777,137.712,10.361,0.0005,10.687,0.002,9.908,0.002,2152.9595,9.66,0.094,-15.346,0.071,4.621,0.539,1.579,1.098,0.481,-0.732,6.312,0.163,0.334,0.337,0.009,0.646,0.015,0.012,7,0.0
2820,2320128,118.16686,25.597221,0.00108,6.787,73.098,17.011,0.0009,18.422,0.015,15.823,0.003,597.755,-60.048,0.146,-0.109,0.094,0.0,0.0,3.807,3.64,0.167,-0.798,6.032,0.05,1.616,1.616,0.008,0.598,0.029,0.009,7,0.0
2821,2632192,65.249377,-23.963586,0.00548,6.812,294.019,12.407,0.0001,13.041,0.001,11.664,0.001,2896.257,3.796,0.03,-13.394,0.042,45.38,0.804,2.553,2.357,0.195,-0.761,5.948,0.052,0.757,0.755,0.005,0.62,0.007,0.008,7,0.002
2822,1981824,171.243437,-25.726833,0.00156,6.813,87.918,15.667,0.0007,16.996,0.004,14.525,0.002,801.7591,-25.203,0.128,-18.309,0.091,0.0,0.0,6.346,6.099,0.247,-0.916,5.999,0.061,2.04,2.04,0.009,0.574,0.024,0.008,7,0.0
