,Gaia2,RAdeg,DEdeg,PDis,plx,e_plx,Gmag,e_Gmag,Bpmag,e_Bpmag,Rpmag,e_Rpmag,Sep,pmRA,e_pmRA,pmDE,e_pmDE,RVel,e_RVel,Age,PreAge,CoolAge,[Fe/H],DM,Av,e_Age,e_PreAge,e_CoolAge,e_[Fe/H],e_DM,e_Av,Nb,PCont
887,152960,147.824032,23.264275,0.00462,7.009,39.792,17.403,0.0017,19.301,0.043,16.063,0.012,2372.88,-9.085,0.26,-7.421,0.265,0.0,0.0,1.333,0.259,1.074,-0.621,5.859,0.048,0.057,0.057,0.076,0.627,0.054,0.01,7,0.0
888,2596352,75.990774,3.055827,0.0068,5.307,197.995,13.428,0.0003,14.148,0.002,12.618,0.001,4613.7335,22.712,0.049,-27.192,0.034,0.0,0.0,2.933,0.17,2.763,-0.678,6.559,0.146,0.044,0.026,0.055,0.661,0.011,0.013,7,0.009
889,1754496,176.233837,-16.656112,0.00226,6.58,299.245,13.347,0.0002,14.112,0.001,12.505,0.001,1238.4042,43.796,0.038,6.575,0.021,1.677,1.756,5.211,4.21,1.001,-0.786,6.041,0.106,1.765,1.772,0.012,0.641,0.007,0.01,7,0.0
890,2533120,8.296553,83.984512,0.00798,6.584,145.727,15.833,0.0006,17.063,0.006,14.74,0.002,4361.584,-27.08,0.084,-14.707,0.072,0.0,0.0,5.694,4.523,1.17,-0.837,6.294,0.067,2.249,2.265,0.024,0.616,0.015,0.013,7,0.008
891,641024,32.120634,-11.903463,0.00258,6.319,265.256,13.325,0.0005,14.108,0.004,12.473,0.001,1472.2257,-2.891,0.048,-47.214,0.035,0.0,0.0,1.837,0.963,0.873,-0.734,6.061,0.084,0.283,0.292,0.017,0.644,0.008,0.009,7,0.0
892,643200,211.435964,9.21935,0.0089,6.573,49.294,16.949,0.0014,18.657,0.023,15.683,0.004,4877.0455,0.738,0.271,-68.04,0.214,0.0,0.0,2.022,0.873,1.149,-0.696,5.997,0.065,0.24,0.272,0.059,0.636,0.042,0.01,7,0.01
893,1052288,205.912461,-13.506623,0.00937,5.47,57.556,15.445,0.0009,16.915,0.008,14.248,0.002,6165.8627,-25.488,0.176,19.531,0.173,0.0,0.0,2.517,1.279,1.237,-0.709,6.564,0.107,0.435,0.468,0.055,0.635,0.036,0.012,7,0.032
894,3884032,252.39992,-27.468878,0.04238,10.433,230.04,10.133,0.002,10.598,0.008,9.527,0.006,14621.6667,-9.056,0.09,-10.819,0.046,0.0,0.0,6.927,4.296,2.63,-0.737,5.677,0.032,2.25,2.415,0.223,0.627,0.009,0.022,7,0.137
895,1058176,324.209929,-2.1439,0.00328,5.681,37.303,17.392,0.0017,18.974,0.027,16.153,0.007,2077.1353,57.083,0.217,21.638,0.22,0.0,0.0,2.689,1.921,0.768,-0.69,6.345,0.084,0.826,0.856,0.045,0.643,0.058,0.011,7,0.0
896,92288,67.460036,0.218115,0.00851,5.467,125.731,11.928,0.0002,12.383,0.001,11.334,0.001,5606.1505,22.699,0.071,-7.603,0.045,31.997,0.423,4.045,2.68,1.364,-0.735,6.514,0.128,1.327,1.351,0.036,0.633,0.017,0.014,7,0.022
897,639360,12.18097,13.555879,0.00244,6.199,106.585,10.281,0.0004,10.578,0.001,9.853,0.002,1415.0007,-11.828,0.106,-20.673,0.074,9.792,0.324,2.677,2.164,0.512,-0.793,6.244,0.18,0.836,0.841,0.011,0.638,0.02,0.014,7,0.0
898,2640384,356.845881,51.140077,0.00224,6.574,59.529,17.41,0.0011,19.168,0.025,16.123,0.003,1227.3481,-31.008,0.149,-21.01,0.115,0.0,0.0,7.289,6.194,1.095,-0.813,6.487,0.039,2.854,2.877,0.037,0.637,0.036,0.015,7,0.0
899,5448064,236.498394,17.929087,0.00263,5.733,44.942,17.291,0.0007,18.865,0.019,16.063,0.002,1652.885,19.178,0.151,30.472,0.118,0.0,0.0,4.244,3.055,1.189,-0.781,6.296,0.08,1.606,1.642,0.056,0.621,0.046,0.01,7,0.0
900,1290112,105.976545,37.956959,0.00578,5.954,46.055,17.174,0.0013,18.68,0.028,15.957,0.006,3495.703,-45.981,0.182,8.033,0.172,0.0,0.0,3.881,3.037,0.843,-0.785,6.38,0.088,1.707,1.728,0.037,0.633,0.044,0.012,7,0.005
901,3861120,310.245582,-23.829521,0.00083,6.344,29.471,17.97,0.0013,19.661,0.038,16.614,0.005,471.642,30.534,0.343,-2.551,0.211,0.0,0.0,4.77,4.34,0.429,-0.827,6.142,0.032,2.256,2.271,0.022,0.595,0.051,0.009,7,0.0
902,1100032,251.759111,43.843818,0.0035,6.379,154.86,16.123,0.0009,17.507,0.01,14.965,0.001,1975.5192,-25.557,0.072,11.954,0.1,0.0,0.0,1.251,0.293,0.958,-0.627,6.021,0.044,0.049,0.055,0.022,0.617,0.014,0.008,7,0.0
903,602496,4.284758,27.469335,0.00857,5.677,48.755,16.468,0.0009,17.954,0.009,15.265,0.002,5431.9031,29.724,0.149,2.718,0.109,0.0,0.0,3.299,0.236,3.063,-0.668,6.331,0.115,0.154,0.047,0.181,0.643,0.046,0.011,7,0.019
904,711296,17.109245,17.730697,0.02994,6.483,51.299,15.049,0.0006,16.225,0.004,13.971,0.001,16626.3759,-21.046,0.207,-25.355,0.147,0.0,0.0,2.013,1.128,0.885,-0.725,6.126,0.081,0.35,0.374,0.04,0.636,0.041,0.011,7,0.161
905,538112,163.344965,6.481281,0.01277,6.426,90.871,16.057,0.001,17.441,0.009,14.894,0.002,7152.7013,-18.36,0.111,-1.335,0.091,0.0,0.0,1.84,0.541,1.299,-0.641,6.073,0.075,0.123,0.14,0.043,0.617,0.023,0.01,7,0.049
906,733824,217.305697,17.532261,0.00757,6.397,148.321,10.364,0.0003,10.672,0.001,9.928,0.001,4260.3811,-32.795,0.066,-11.415,0.074,-22.168,0.494,1.413,0.972,0.441,-0.738,6.033,0.073,0.268,0.269,0.008,0.649,0.014,0.008,7,0.008
907,3133312,107.341873,11.744411,0.00169,7.033,32.521,17.49,0.0019,19.222,0.032,16.231,0.003,864.1943,-21.946,0.719,-47.37,0.747,0.0,0.0,1.983,0.274,1.709,-0.627,5.967,0.094,0.153,0.066,0.193,0.638,0.062,0.01,7,0.0
908,2982912,280.085764,67.553253,0.00757,6.453,122.071,16.334,0.0008,17.921,0.009,15.106,0.002,4224.1272,-7.097,0.091,143.701,0.102,0.0,0.0,3.052,0.77,2.283,-0.713,6.204,0.095,0.206,0.286,0.167,0.666,0.017,0.014,7,0.008
909,1178624,140.816197,-14.089045,0.00169,6.378,39.956,17.779,0.0021,19.517,0.049,16.535,0.005,951.8198,-48.767,0.254,-32.331,0.231,0.0,0.0,2.532,1.894,0.638,-0.747,6.127,0.081,0.765,0.789,0.034,0.63,0.053,0.009,7,0.0
910,3428864,307.108033,-27.241097,0.01772,6.853,64.919,15.904,0.0011,17.358,0.008,14.726,0.002,9308.96,35.816,0.153,-67.126,0.087,0.0,0.0,3.289,2.721,0.568,-0.767,5.973,0.054,1.025,1.036,0.019,0.608,0.033,0.01,7,0.077
911,1308160,187.37568,19.88049,0.00125,6.56,52.764,16.799,0.0009,18.166,0.013,15.642,0.003,688.2647,-2.6,0.18,-62.445,0.135,0.0,0.0,4.121,2.518,1.603,-0.757,6.028,0.1,1.102,1.151,0.073,0.616,0.039,0.011,7,0.0
912,2879616,24.175296,43.602567,0.00271,6.06,59.343,16.433,0.0015,17.919,0.014,15.247,0.003,1611.4822,143.774,0.197,13.404,0.305,0.0,0.0,1.515,0.656,0.859,-0.7,6.275,0.065,0.185,0.207,0.04,0.615,0.036,0.01,7,0.0
913,2366208,248.20246,19.100555,0.02498,6.381,123.345,15.695,0.0006,17.014,0.007,14.552,0.002,14091.6702,-9.221,0.074,-63.942,0.074,0.0,0.0,2.366,0.536,1.83,-0.633,6.125,0.095,0.113,0.132,0.078,0.635,0.017,0.011,7,0.131
914,1899136,82.792215,-5.22322,0.01135,5.402,88.278,15.705,0.0006,16.921,0.008,14.602,0.003,7565.2103,27.449,0.094,-14.622,0.08,0.0,0.0,10.598,9.519,1.079,-1.138,6.933,0.106,2.042,2.047,0.02,0.504,0.023,0.013,7,0.055
915,4579072,98.848717,-25.980753,0.00212,5.862,251.633,14.435,0.0003,15.436,0.002,13.448,0.001,1298.9445,2.125,0.03,-23.146,0.035,0.0,0.0,8.271,6.718,1.553,-0.915,6.4,0.104,2.685,2.705,0.028,0.611,0.008,0.014,7,0.0
916,1675776,136.195357,39.900602,0.00983,6.302,85.322,15.57,0.0008,17.007,0.006,14.381,0.002,5617.9029,6.051,0.093,-86.498,0.08,0.0,0.0,2.219,0.313,1.905,-0.649,6.064,0.076,0.09,0.063,0.106,0.641,0.024,0.01,7,0.022
917,588288,170.908496,17.142099,0.01334,6.285,83.435,7.187,0.0005,7.277,0.003,7.091,0.003,7642.7715,-51.297,0.117,-1.489,0.089,0.0,0.0,0.599,0.428,0.171,-0.739,6.079,0.049,0.112,0.112,0.008,0.639,0.026,0.009,7,0.056
918,932224,216.630846,-8.0656,0.00271,5.883,84.68,15.612,0.0007,16.757,0.008,14.542,0.003,1657.888,-26.463,0.108,-21.344,0.099,0.0,0.0,1.617,0.758,0.859,-0.688,6.31,0.05,0.198,0.21,0.028,0.627,0.026,0.01,7,0.0
919,3952768,9.875844,47.428261,0.00632,6.008,121.35,12.267,0.0002,12.81,0.001,11.603,0.001,3786.1849,50.631,0.061,-4.474,0.051,2.877,0.474,5.121,4.001,1.12,-0.758,6.463,0.082,1.863,1.876,0.023,0.634,0.017,0.011,7,0.006
920,1189632,199.155761,79.111809,0.00419,6.261,66.782,17.473,0.0012,19.056,0.03,16.249,0.004,2407.2188,-28.424,0.219,9.816,0.165,0.0,0.0,2.525,2.081,0.444,-0.705,6.121,0.049,0.716,0.724,0.015,0.636,0.032,0.009,7,0.0
921,3574144,106.385944,17.376648,0.00354,5.838,146.52,12.656,0.0003,13.255,0.001,11.948,0.001,2182.7984,27.668,0.067,-14.248,0.062,0.0,0.0,2.548,0.941,1.606,-0.691,6.349,0.108,0.301,0.34,0.061,0.631,0.015,0.012,7,0.0
922,1663360,211.675212,44.795705,0.00799,6.463,128.47,16.14,0.0007,17.586,0.005,14.964,0.002,4453.131,0.803,0.07,-6.014,0.069,0.0,0.0,1.766,0.286,1.48,-0.621,5.969,0.036,0.052,0.052,0.056,0.646,0.017,0.006,7,0.008
923,605440,336.46922,12.857692,0.00296,6.892,138.298,11.322,0.0004,11.738,0.002,10.769,0.001,1546.7971,42.148,0.076,21.156,0.07,-24.612,0.669,2.148,0.288,1.86,-0.675,6.056,0.293,0.083,0.081,0.126,0.651,0.015,0.015,7,0.0
924,878336,328.507056,-28.305908,0.00279,6.494,71.298,16.494,0.0012,18.015,0.016,15.279,0.004,1546.47,-0.515,0.13,-14.326,0.113,0.0,0.0,2.503,1.05,1.453,-0.699,6.041,0.071,0.315,0.347,0.059,0.65,0.029,0.01,7,0.0
925,858112,323.192239,-22.435695,0.00386,6.451,155.445,10.426,0.0003,10.757,0.001,9.963,0.001,2155.8931,85.385,0.068,-42.689,0.061,-51.664,0.321,2.672,2.178,0.494,-0.778,6.128,0.092,0.693,0.696,0.008,0.606,0.014,0.01,7,0.0
926,4210048,236.21766,14.697446,0.00855,6.326,305.119,13.441,0.0002,14.252,0.001,12.571,0.001,4863.2451,-16.578,0.034,-143.676,0.032,20.087,1.486,2.204,0.36,1.844,-0.677,6.157,0.079,0.072,0.072,0.067,0.637,0.007,0.01,7,0.01
927,607488,130.144992,43.514485,0.00309,6.009,63.251,16.626,0.001,18.07,0.011,15.444,0.003,1849.2973,-20.973,0.12,-63.74,0.096,0.0,0.0,3.164,1.012,2.152,-0.738,6.181,0.112,0.26,0.317,0.143,0.663,0.033,0.009,7,0.0
928,5882368,331.813969,36.610874,0.00528,6.617,63.295,16.839,0.0006,18.419,0.009,15.6,0.001,2872.1622,94.394,0.089,85.299,0.167,0.0,0.0,9.621,7.76,1.86,-0.983,6.35,0.096,2.282,2.315,0.052,0.576,0.03,0.012,7,0.002
929,1227136,56.766658,-3.248584,0.00301,6.71,280.698,13.536,0.0003,14.342,0.002,12.667,0.001,1612.2267,-8.265,0.043,-7.211,0.035,0.0,0.0,1.595,1.467,0.128,-0.725,6.305,0.046,0.436,0.433,0.005,0.627,0.008,0.01,7,0.0
930,4403072,264.798675,14.765773,0.0029,6.499,43.187,18.012,0.0015,19.75,0.034,16.702,0.005,1607.5858,-38.203,0.239,-69.827,0.284,0.0,0.0,3.187,1.1,2.086,-0.618,6.247,0.097,0.283,0.379,0.196,0.61,0.051,0.012,7,0.0
931,820992,208.242472,26.983479,0.00271,6.285,277.11,13.84,0.0006,14.705,0.003,12.924,0.002,1552.7227,20.432,0.039,-45.333,0.028,0.0,0.0,1.66,0.357,1.303,-0.569,6.06,0.07,0.061,0.072,0.034,0.608,0.008,0.009,7,0.0
932,5232896,306.785439,14.737324,0.00353,4.866,148.147,14.543,0.0005,15.482,0.003,13.592,0.002,2611.3492,-4.695,0.045,30.615,0.038,0.0,0.0,2.841,1.61,1.231,-0.745,6.88,0.065,0.594,0.617,0.034,0.635,0.014,0.012,7,0.001
933,1283200,109.038329,60.408811,0.00921,6.368,92.002,16.629,0.0005,17.984,0.007,15.481,0.001,5208.2912,-13.19,0.096,-3.539,0.08,0.0,0.0,2.175,0.418,1.757,-0.606,6.195,0.087,0.089,0.099,0.093,0.637,0.023,0.01,7,0.014
934,742016,3.330303,15.748641,0.00133,6.873,53.137,16.959,0.0012,18.635,0.02,15.713,0.003,694.5308,-23.686,0.258,-44.079,0.221,0.0,0.0,4.98,3.453,1.527,-0.755,6.068,0.079,1.625,1.669,0.065,0.619,0.038,0.011,7,0.0
935,1179264,237.621554,53.215298,0.00359,6.149,261.767,12.878,0.0004,13.566,0.003,12.099,0.001,2101.9118,-16.94,0.039,19.366,0.045,-52.551,1.603,3.295,1.138,2.156,-0.715,6.095,0.072,0.326,0.39,0.11,0.64,0.008,0.01,7,0.0
936,1416832,182.797839,19.012361,0.0012,6.567,36.296,17.828,0.0013,19.438,0.044,16.578,0.005,656.4983,-2.534,0.271,20.165,0.182,0.0,0.0,2.881,2.309,0.573,-0.805,6.029,0.062,1.174,1.196,0.033,0.613,0.058,0.008,7,0.0
937,658816,39.058983,-16.924581,0.00661,6.066,27.922,17.352,0.0015,18.997,0.034,16.092,0.007,3921.6954,-25.353,0.193,-73.398,0.225,0.0,0.0,4.276,4.032,0.244,-0.832,5.961,0.045,2.116,2.125,0.017,0.609,0.061,0.008,7,0.006
938,546944,158.943918,35.171536,0.00491,6.432,99.064,15.541,0.0007,16.752,0.005,14.446,0.002,2746.3662,-76.727,0.097,-8.739,0.089,0.0,0.0,1.273,0.987,0.286,-0.713,6.024,0.046,0.274,0.275,0.009,0.649,0.022,0.008,7,0.001
939,2635904,30.155283,43.966647,0.00938,6.969,110.717,14.732,0.0004,15.789,0.005,13.717,0.003,4843.1202,42.447,0.078,14.244,0.089,0.0,0.0,1.363,0.58,0.783,-0.698,6.064,0.048,0.146,0.154,0.02,0.652,0.019,0.01,7,0.01
940,2297984,72.237758,-27.167545,0.00461,6.123,153.149,15.653,0.0006,16.812,0.004,14.586,0.002,2711.469,12.784,0.059,-3.853,0.08,0.0,0.0,3.44,2.355,1.085,-0.738,6.167,0.078,0.788,0.799,0.019,0.626,0.014,0.009,7,0.001
941,973312,328.266309,-10.124341,0.00777,6.343,208.245,13.674,0.0005,14.529,0.003,12.77,0.002,4411.1965,77.967,0.051,-29.128,0.053,0.0,0.0,4.299,4.12,0.179,-0.792,6.097,0.041,1.474,1.472,0.005,0.588,0.01,0.008,7,0.008
942,117120,149.748504,23.461588,0.00502,6.14,86.532,15.374,0.001,16.495,0.005,14.321,0.003,2946.0585,4.627,0.133,-46.986,0.139,0.0,0.0,2.263,1.371,0.891,-0.742,6.161,0.071,0.392,0.404,0.024,0.633,0.025,0.009,7,0.002
943,1107840,168.891638,-12.276277,0.00404,6.526,99.039,8.11,0.0004,8.268,0.001,7.881,0.001,2229.2085,-50.73,0.102,-5.269,0.066,0.0,0.0,0.343,0.139,0.204,-0.669,6.118,0.368,0.065,0.044,0.025,0.649,0.021,0.027,7,0.0
944,1401728,194.980439,25.469471,0.00534,5.843,142.228,12.043,0.001,12.645,0.003,11.315,0.002,3291.1321,-26.706,0.059,-8.376,0.045,-19.863,10.253,2.451,0.115,2.336,-0.635,6.209,0.082,0.029,0.013,0.029,0.646,0.016,0.009,7,0.004
945,2236160,156.149744,-29.120603,0.00172,6.517,94.408,15.052,0.0006,16.345,0.004,13.924,0.001,949.1281,-58.667,0.107,-15.885,0.1,0.0,0.0,2.24,0.946,1.293,-0.711,6.154,0.138,0.258,0.277,0.041,0.64,0.023,0.011,7,0.0
946,793088,355.267247,15.304653,0.00608,6.039,32.882,17.972,0.0015,19.692,0.033,16.677,0.004,3624.7241,39.705,0.37,6.074,0.207,0.0,0.0,2.213,0.295,1.918,-0.689,6.198,0.089,0.179,0.078,0.229,0.638,0.064,0.01,7,0.005
947,1477632,315.399885,-24.678005,0.00324,6.398,98.707,10.717,0.0003,11.12,0.001,10.181,0.001,1821.2428,-89.77,0.103,-71.58,0.056,70.543,0.393,1.922,1.353,0.569,-0.75,6.185,0.145,0.413,0.42,0.014,0.658,0.022,0.011,7,0.0
948,1082240,259.36841,39.535874,0.02013,6.82,92.67,16.597,0.0012,18.214,0.013,15.355,0.003,10627.4785,-16.936,0.108,-8.347,0.12,0.0,0.0,2.799,0.248,2.551,-0.634,5.948,0.091,0.096,0.045,0.114,0.631,0.023,0.01,7,0.092
949,578432,30.283459,13.683477,0.00373,6.85,165.853,10.921,0.0004,11.3,0.002,10.407,0.002,1960.1398,-2.08,0.08,-15.085,0.07,-19.696,0.552,1.57,0.368,1.202,-0.639,6.036,0.124,0.072,0.088,0.038,0.651,0.013,0.011,7,0.0
950,1290624,208.224323,-27.288779,0.00686,6.73,319.813,13.617,0.0005,14.529,0.005,12.684,0.001,3671.697,-44.427,0.044,-35.894,0.034,0.0,0.0,2.513,0.743,1.77,-0.678,6.033,0.089,0.187,0.214,0.063,0.653,0.007,0.012,7,0.005
951,1367168,145.574272,46.827482,0.00207,6.527,160.911,14.972,0.0004,16.091,0.003,13.925,0.001,1141.5675,-13.583,0.062,-10.927,0.067,0.0,0.0,3.532,1.778,1.754,-0.658,5.959,0.063,0.494,0.515,0.04,0.649,0.014,0.008,7,0.0
952,12403584,124.314316,-26.019684,0.00228,6.227,121.948,15.706,0.0005,17.033,0.004,14.564,0.002,1318.6226,-21.935,0.069,-5.031,0.072,0.0,0.0,2.012,0.799,1.213,-0.725,6.496,0.067,0.231,0.25,0.037,0.679,0.019,0.011,7,0.0
953,612608,31.314955,-4.704203,0.00247,5.089,111.153,14.334,0.0005,15.187,0.003,13.436,0.002,1749.1996,28.542,0.059,-55.046,0.054,0.0,0.0,2.407,1.31,1.096,-0.733,6.542,0.116,0.424,0.439,0.029,0.639,0.02,0.01,7,0.0
954,1758976,55.700073,-23.181865,0.00332,6.3,183.299,14.69,0.0005,15.714,0.003,13.691,0.002,1894.4004,-3.604,0.055,-57.235,0.051,0.0,0.0,1.305,0.266,1.039,-0.657,6.058,0.049,0.041,0.046,0.022,0.616,0.012,0.008,7,0.0
955,907392,337.19039,20.538665,0.01029,5.565,54.688,15.486,0.0009,16.839,0.004,14.337,0.002,6655.2906,4.276,0.123,-35.148,0.109,0.0,0.0,2.662,0.617,2.045,-0.703,6.416,0.097,0.171,0.206,0.165,0.661,0.039,0.011,7,0.041
956,980864,184.731895,1.936119,0.01279,6.405,68.471,16.19,0.0014,17.406,0.009,15.097,0.002,7189.0352,-54.727,0.155,38.702,0.099,0.0,0.0,2.821,0.891,1.93,-0.748,6.039,0.088,0.226,0.26,0.102,0.655,0.03,0.009,7,0.049
957,384,339.774847,-24.143089,0.00398,6.147,164.745,12.942,0.0003,13.621,0.002,12.167,0.001,2328.9415,32.192,0.057,-7.679,0.058,-21.48,1.809,3.186,0.489,2.697,-0.648,6.133,0.12,0.125,0.141,0.163,0.647,0.013,0.012,7,0.0
958,1408640,70.701801,5.843849,0.003,6.854,154.507,14.401,0.0005,15.528,0.004,13.356,0.002,1576.1312,11.183,0.074,-24.772,0.048,0.0,0.0,9.091,8.272,0.819,-1.01,6.257,0.054,2.376,2.381,0.011,0.552,0.014,0.01,7,0.0
959,1414784,330.322745,19.847115,0.00094,6.673,120.217,15.127,0.0008,16.308,0.006,14.044,0.002,506.4423,-18.788,0.103,3.157,0.105,0.0,0.0,3.258,2.996,0.262,-0.814,6.168,0.02,1.118,1.116,0.009,0.637,0.018,0.009,7,0.0
960,1345024,228.204523,40.334314,0.00097,6.444,148.408,16.102,0.0008,17.458,0.006,14.957,0.002,539.1033,3.036,0.066,-2.267,0.081,0.0,0.0,2.129,1.599,0.53,-0.749,6.005,0.024,0.44,0.443,0.008,0.638,0.014,0.008,7,0.0
961,3432064,158.041213,-29.975158,0.02195,7.819,227.157,10.45,0.0002,10.836,0.001,9.929,0.0,10106.4505,72.812,0.057,-6.114,0.053,27.276,0.296,3.278,0.503,2.775,-0.687,5.698,0.191,0.12,0.145,0.15,0.634,0.009,0.014,7,0.086
962,715008,134.715586,3.392465,0.01605,6.59,85.105,16.106,0.0005,17.649,0.008,14.889,0.002,8768.9689,-23.135,0.132,11.722,0.075,0.0,0.0,4.584,3.33,1.254,-0.711,6.075,0.074,1.336,1.355,0.033,0.634,0.025,0.01,7,0.071
963,868224,342.53443,-11.365603,0.00122,7.15,60.638,15.488,0.0014,16.915,0.01,14.313,0.005,612.399,68.201,0.137,-17.013,0.13,0.0,0.0,2.002,1.116,0.886,-0.705,5.875,0.052,0.366,0.385,0.035,0.648,0.034,0.01,7,0.0
964,1110144,251.74984,43.982123,0.00099,6.728,107.391,16.954,0.001,18.533,0.018,15.728,0.003,527.5122,50.618,0.116,-57.228,0.155,0.0,0.0,3.464,1.906,1.558,-0.738,5.903,0.063,0.528,0.548,0.04,0.633,0.02,0.009,7,0.0
965,495232,161.172249,41.220673,0.00377,5.957,94.28,15.5,0.0006,16.718,0.006,14.403,0.002,2278.3443,-38.42,0.073,-12.525,0.08,0.0,0.0,2.706,0.301,2.405,-0.626,6.173,0.064,0.103,0.059,0.123,0.629,0.022,0.009,7,0.0
966,863872,219.377902,-23.585632,0.00871,6.697,162.821,13.077,0.0005,13.796,0.002,12.265,0.001,4683.6809,-2.912,0.071,-29.279,0.075,46.706,1.547,2.843,1.947,0.896,-0.78,6.269,0.067,0.617,0.626,0.015,0.642,0.014,0.01,7,0.009
967,2454656,284.64355,60.675808,0.02464,6.653,280.551,15.153,0.0004,16.225,0.004,14.118,0.002,13331.2587,-38.656,0.048,32.258,0.049,0.0,0.0,1.401,0.255,1.146,-0.674,6.057,0.055,0.038,0.044,0.025,0.633,0.008,0.01,7,0.12
968,1310080,279.857267,35.638744,0.00602,6.699,118.102,16.235,0.0009,17.623,0.01,15.075,0.002,3233.1302,32.728,0.086,28.243,0.091,0.0,0.0,3.891,1.385,2.506,-0.619,6.066,0.112,0.326,0.378,0.123,0.667,0.018,0.011,7,0.004
969,11264,243.4642,40.348385,0.01495,6.151,215.341,7.692,0.0002,8.237,0.002,7.045,0.002,8752.2727,-27.31,0.043,-98.984,0.06,11.604,0.155,2.783,0.92,1.862,-0.649,6.099,0.086,0.229,0.253,0.058,0.637,0.01,0.009,7,0.071
970,2799232,47.3357,24.174748,0.00243,7.476,116.753,12.037,0.0003,12.574,0.002,11.369,0.002,1170.5544,65.329,0.09,-42.645,0.077,34.238,1.845,10.93,9.884,1.045,-1.226,6.119,0.255,1.845,1.849,0.016,0.46,0.018,0.011,7,0.0
971,617216,107.640069,66.53791,0.01695,6.374,48.092,17.932,0.0014,19.695,0.039,16.632,0.004,9571.5584,50.845,0.144,23.563,0.185,0.0,0.0,2.361,0.878,1.483,-0.729,6.141,0.081,0.253,0.299,0.086,0.658,0.042,0.011,7,0.08
972,2201984,106.483804,31.489657,0.00096,6.849,75.965,16.195,0.0014,17.761,0.012,14.953,0.005,507.1838,-23.311,0.143,-12.847,0.124,0.0,0.0,0.833,0.464,0.369,-0.7,6.097,0.032,0.111,0.114,0.015,0.653,0.028,0.009,7,0.0
973,1601024,262.835267,45.349028,0.02533,6.806,330.031,10.659,0.0003,11.005,0.001,10.177,0.001,13399.6266,4.109,0.035,16.172,0.037,3.565,0.396,1.958,1.165,0.793,-0.703,5.907,0.059,0.318,0.323,0.01,0.645,0.007,0.008,7,0.121
974,4280704,114.753521,0.19789,0.00416,6.766,179.294,11.529,0.0005,12.0,0.001,10.933,0.001,2210.9179,4.441,0.074,-31.39,0.046,51.743,0.37,1.777,0.522,1.255,-0.643,6.048,0.122,0.12,0.134,0.03,0.651,0.012,0.011,7,0.0
975,1510144,144.472241,49.707573,0.01094,6.575,94.078,16.176,0.0009,17.595,0.006,15.009,0.003,5990.1098,-40.257,0.101,-38.272,0.095,0.0,0.0,1.015,0.903,0.112,-0.802,5.944,0.032,0.277,0.277,0.005,0.624,0.023,0.007,7,0.029
976,2209152,35.046224,41.069255,0.02024,6.021,156.206,13.093,0.0005,13.767,0.001,12.318,0.001,12103.0806,16.113,0.049,-43.204,0.053,-25.985,0.987,3.084,0.489,2.595,-0.626,6.243,0.14,0.118,0.14,0.15,0.644,0.014,0.012,7,0.106
977,2835456,255.559669,8.271858,0.00372,6.414,85.65,15.604,0.0005,17.25,0.007,14.351,0.002,2089.0784,-16.359,0.114,15.692,0.1,0.0,0.0,2.134,1.406,0.729,-0.734,6.255,0.044,0.411,0.421,0.02,0.653,0.026,0.01,7,0.0
978,5332736,152.555901,38.820641,0.00598,6.799,38.197,10.936,0.0045,11.454,0.002,10.357,0.001,3164.5947,-63.643,0.183,-25.765,0.18,23.246,0.716,2.553,0.906,1.647,-0.685,5.884,0.095,0.241,0.311,0.135,0.661,0.055,0.008,7,0.003
979,895360,182.602911,-14.764868,0.03055,6.625,63.878,15.906,0.001,17.245,0.007,14.762,0.002,16602.1205,-8.735,0.172,-7.144,0.113,0.0,0.0,3.966,1.123,2.843,-0.665,6.096,0.119,0.396,0.538,0.284,0.633,0.032,0.015,7,0.16
980,2215168,39.535091,39.075141,0.01096,6.978,84.788,15.103,0.0009,16.146,0.031,13.921,0.007,5652.6147,-47.098,0.111,2.413,0.086,0.0,0.0,1.353,0.309,1.044,-0.697,6.016,0.064,0.052,0.058,0.037,0.626,0.026,0.01,7,0.023
981,894720,173.084208,8.066403,0.0052,6.529,158.915,14.668,0.0005,15.804,0.004,13.61,0.002,2865.8562,18.839,0.072,-47.057,0.049,0.0,0.0,3.338,1.772,1.566,-0.679,6.057,0.081,0.595,0.618,0.038,0.649,0.014,0.012,7,0.002
982,9225856,292.203886,41.006097,0.0189,6.833,306.825,11.252,0.001,11.686,0.002,10.687,0.002,9957.9752,20.529,0.042,19.63,0.04,-23.44,0.703,0.763,0.367,0.396,-0.699,6.181,0.048,0.074,0.072,0.007,0.637,0.007,0.009,7,0.085
983,3686272,307.882558,10.41441,0.0013,7.666,26.771,18.536,0.0024,20.107,0.036,17.157,0.011,611.5905,60.527,0.459,-59.529,0.596,0.0,0.0,7.496,6.933,0.563,-0.931,6.17,0.11,2.789,2.807,0.025,0.584,0.048,0.009,7,0.0
984,2209664,79.731151,-30.448691,0.00631,6.428,92.349,14.421,0.0004,15.562,0.002,13.359,0.001,3534.3561,35.443,0.119,5.194,0.127,0.0,0.0,1.207,0.652,0.555,-0.671,6.005,0.032,0.167,0.172,0.016,0.65,0.024,0.007,7,0.005
