,ID1,ID2,RA1deg,RA2deg,DE1deg,DE2deg,plx1,plx2,e_plx1,e_plx2,Gmag1,Gmag2,e_Gmag1,e_Gmag2,Bpmag1,Bpmag2,e_Bpmag1,e_Bpmag2,Rpmag1,Rpmag2,e_Rpmag1,e_Rpmag2,pmRA1,pmRA2,e_pmRA1,e_pmRA2,pmDE1,pmDE2,e_pmDE1,e_pmDE2,RVel1,RVel2,e_RVel1,e_RVel2,gmag1,gmag2,rmag1,rmag2,imag1,imag2,zmag1,zmag2,e_gmag1,e_gmag2,e_rmag1,e_rmag2,e_imag1,e_imag2,e_zmag1,e_zmag2,Age1,Age2,ZMass1,ZMass2,PreAge1,PreAge2,CoolAge1,CoolAge2,[Fe/H]1,[Fe/H]2,DM1,DM2,Av1,Av2,e_Age1,e_Age2,e_ZMass1,e_ZMass2,e_PreAge1,e_PreAge2,e_CoolAge1,e_CoolAge2,e_[Fe/H]1,e_[Fe/H]2,e_DM1,e_DM2,e_Av1,e_Av2,Nb1,Nb2,Sep,PDis,Type,PCont
508,651392,712960,25.49578,25.494116,-7.619555,-7.619443,4.249,4.459,54.096,8.572,16.376,19.793,0.0009,0.0065,17.562,19.887,0.012,0.048,15.295,19.558,0.003,0.08,36.738,34.991,0.147,1.072,7.376,8.205,0.1,0.635,0.0,0.0,0.0,0.0,0.0,19.782,0.0,19.821,0.0,19.886,0.0,19.95,0.0,0.01,0.0,0.013,0.0,0.01,0.0,0.03,0.0,1.512,0.0,3.39,0.0,0.274,0.0,1.238,0.0,-0.641,0.0,6.931,0.0,0.086,0.0,0.06,0.0,0.207,0.0,0.059,0.0,0.079,0.0,0.61,0.0,0.041,0.0,0.01,0,7,1400.9784,0.00165,1,0.0
509,5310848,7038592,304.988233,304.988832,20.219512,20.219573,4.334,4.461,29.272,22.368,17.953,18.479,0.0012,0.0017,19.306,18.454,0.05,0.055,16.707,18.529,0.007,0.087,7.4,8.128,0.223,0.326,-22.63,-22.811,0.182,0.247,0.0,0.0,0.0,0.0,0.0,18.364,0.0,18.585,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.011,0.0,0.0,0.0,0.0,0.0,4.872,0.0,1.276,0.0,4.7,0.0,0.172,0.0,-0.813,0.0,7.368,0.0,0.022,0.0,2.785,0.0,0.304,0.0,2.782,0.0,0.018,0.0,0.616,0.0,0.067,0.0,0.016,0,7,470.0886,0.00057,1,0.0
510,955136,988160,190.070867,190.114729,74.94916,74.942406,4.454,4.462,205.645,6.954,12.189,20.068,0.0002,0.0074,12.624,20.066,0.001,0.063,11.616,20.108,0.001,0.103,-38.818,-39.213,0.04,1.284,-13.863,-12.907,0.037,1.439,-39.875,0.0,5.543,0.0,0.0,20.028,0.0,20.186,0.0,20.272,0.0,20.429,0.0,0.016,0.0,0.04,0.0,0.027,0.0,0.021,0.0,2.157,0.0,5.604,0.0,0.08,0.0,2.077,0.0,-0.668,0.0,6.822,0.0,0.064,0.0,0.047,0.0,0.13,0.0,0.006,0.0,0.043,0.0,0.628,0.0,0.01,0.0,0.012,0,7,10704.127,0.01324,1,0.092
511,7950336,1501696,95.404139,95.403466,-14.519976,-14.518107,4.254,4.464,44.649,10.124,16.623,19.906,0.0007,0.0044,18.117,20.011,0.008,0.041,15.416,19.618,0.002,0.046,-4.767,-5.358,0.157,0.716,25.535,24.539,0.151,0.79,0.0,0.0,0.0,0.0,0.0,19.915,0.0,19.823,0.0,19.938,0.0,19.994,0.0,0.009,0.0,0.032,0.0,0.019,0.0,0.047,0.0,8.211,0.0,1.029,0.0,7.557,0.0,0.654,0.0,-0.938,0.0,7.504,0.0,0.129,0.0,2.972,0.0,0.162,0.0,2.983,0.0,0.023,0.0,0.59,0.0,0.045,0.0,0.018,0,7,1674.3786,0.00198,1,0.0
512,3144960,1729280,257.491051,257.495096,12.879663,12.878524,4.233,4.47,176.805,7.344,14.1,20.056,0.0003,0.0061,14.834,20.163,0.003,0.051,13.276,19.752,0.001,0.069,14.637,15.336,0.049,1.132,-41.656,-42.804,0.047,1.016,0.0,0.0,0.0,0.0,0.0,20.215,0.0,20.006,0.0,20.063,0.0,19.915,0.0,0.018,0.0,0.023,0.0,0.019,0.0,0.04,0.0,10.641,0.0,0.904,0.0,9.756,0.0,0.885,0.0,-1.125,0.0,7.253,0.0,0.091,0.0,2.041,0.0,0.076,0.0,2.045,0.0,0.011,0.0,0.449,0.0,0.012,0.0,0.013,0,7,3490.2695,0.0041,1,0.005
513,463872,1085568,188.546985,188.546936,41.04233,41.03876,4.035,4.472,29.195,7.659,17.895,20.072,0.0014,0.0051,19.372,20.014,0.036,0.066,16.645,19.94,0.005,0.087,-16.128,-15.099,0.128,0.543,11.309,11.731,0.17,0.686,0.0,0.0,0.0,0.0,0.0,20.112,0.0,20.053,0.0,20.075,0.0,20.236,0.0,0.031,0.0,0.023,0.0,0.03,0.0,0.031,0.0,1.711,0.0,3.034,0.0,0.397,0.0,1.314,0.0,-0.653,0.0,7.058,0.0,0.095,0.0,0.122,0.0,0.391,0.0,0.167,0.0,0.159,0.0,0.657,0.0,0.077,0.0,0.015,0,7,3186.0426,0.00357,1,0.003
514,408064,407168,153.11602,153.122314,7.965508,7.978607,3.101,4.474,52.982,7.41,12.734,19.669,0.0002,0.007,13.131,19.73,0.001,0.039,12.191,19.452,0.001,0.047,-23.763,-23.383,0.082,0.981,0.974,1.692,0.072,0.716,-13.03,0.0,2.247,0.0,0.0,19.65,0.0,19.665,0.0,19.78,0.0,19.945,0.0,0.014,0.0,0.018,0.0,0.01,0.0,0.025,0.0,6.762,0.0,1.097,0.0,6.243,0.0,0.519,0.0,-0.86,0.0,7.626,0.0,0.088,0.0,2.617,0.0,0.15,0.0,2.626,0.0,0.018,0.0,0.612,0.0,0.037,0.0,0.01,0,7,16843.2094,0.01451,1,0.163
515,868864,696448,7.930429,7.935743,-20.786079,-20.793672,3.678,4.475,138.714,7.112,13.83,20.019,0.0003,0.0052,14.446,20.099,0.001,0.051,13.097,19.79,0.001,0.076,-11.233,-12.494,0.042,0.852,-59.833,-61.611,0.034,0.811,0.0,0.0,0.0,0.0,0.0,20.08,0.0,20.008,0.0,20.056,0.0,20.126,0.0,0.017,0.0,0.012,0.0,0.015,0.0,0.017,0.0,2.615,0.0,1.723,0.0,1.687,0.0,0.928,0.0,-0.748,0.0,7.241,0.0,0.08,0.0,0.564,0.0,0.165,0.0,0.574,0.0,0.019,0.0,0.649,0.0,0.015,0.0,0.011,0,7,8881.4844,0.00907,1,0.072
516,1590144,1590272,194.837384,194.849164,36.32325,36.323245,4.633,4.481,167.379,41.055,14.504,17.661,0.0004,0.0009,15.399,17.561,0.003,0.007,13.573,17.789,0.003,0.01,-6.268,-6.508,0.035,0.155,-25.6,-25.392,0.044,0.153,0.0,0.0,0.0,0.0,0.0,17.514,0.0,17.804,0.0,18.099,0.0,18.369,0.0,0.008,0.0,0.011,0.0,0.004,0.0,0.01,0.0,2.205,0.0,1.572,0.0,2.089,0.0,0.116,0.0,-0.761,0.0,6.714,0.0,0.03,0.0,0.692,0.0,0.129,0.0,0.69,0.0,0.004,0.0,0.648,0.0,0.013,0.0,0.007,0,7,7374.3631,0.00949,1,0.052
517,657408,305664,329.063585,329.06283,-9.923056,-9.92299,4.622,4.49,32.725,10.13,16.631,18.398,0.0014,0.0033,17.841,18.328,0.011,0.033,15.504,18.299,0.003,0.043,16.389,15.38,0.221,0.675,6.276,7.238,0.152,0.437,0.0,0.0,0.0,0.0,0.0,18.327,0.0,18.475,0.0,18.655,0.0,18.851,0.0,0.007,0.0,0.006,0.0,0.015,0.0,0.034,0.0,4.305,0.0,1.33,0.0,3.942,0.0,0.363,0.0,-0.743,0.0,6.792,0.0,0.043,0.0,2.368,0.0,0.23,0.0,2.38,0.0,0.024,0.0,0.631,0.0,0.061,0.0,0.011,0,7,581.7841,0.00075,1,0.0
518,1329792,715008,359.616975,359.633434,21.063471,21.073487,4.479,4.491,77.409,6.004,11.576,19.454,0.0021,0.0038,11.961,19.504,0.006,0.039,11.038,19.269,0.005,0.033,36.907,36.824,0.104,1.486,4.74,4.403,0.035,0.423,19.28,0.0,10.064,0.0,0.0,19.405,0.0,19.492,0.0,19.643,0.0,19.806,0.0,0.007,0.0,0.012,0.0,0.012,0.0,0.018,0.0,1.224,0.0,3.524,0.0,0.25,0.0,0.974,0.0,-0.595,0.0,6.93,0.0,0.066,0.0,0.041,0.0,0.162,0.0,0.046,0.0,0.035,0.0,0.641,0.0,0.028,0.0,0.011,0,7,14737.2979,0.01834,1,0.139
519,7300992,3417344,123.448907,123.447643,-16.811425,-16.814069,4.762,4.491,37.479,31.322,17.695,18.156,0.001,0.0012,19.181,18.121,0.028,0.01,16.499,18.202,0.004,0.02,25.842,25.424,0.19,0.211,-24.478,-24.675,0.135,0.151,0.0,0.0,0.0,0.0,0.0,18.032,0.0,18.225,0.0,18.51,0.0,18.75,0.0,0.012,0.0,0.012,0.0,0.004,0.0,0.016,0.0,2.924,0.0,1.486,0.0,2.706,0.0,0.218,0.0,-0.745,0.0,6.851,0.0,0.056,0.0,1.469,0.0,0.217,0.0,1.477,0.0,0.016,0.0,0.622,0.0,0.058,0.0,0.01,0,7,2197.8276,0.00291,1,0.0
520,1429760,1429632,186.705749,186.708035,44.755263,44.753878,4.401,4.491,71.137,24.042,16.243,18.622,0.0006,0.0021,17.475,18.506,0.009,0.023,15.134,18.507,0.003,0.032,-62.997,-62.635,0.068,0.213,-14.031,-13.908,0.085,0.261,0.0,0.0,0.0,0.0,0.0,18.529,0.0,18.706,0.0,18.895,0.0,19.077,0.0,0.01,0.0,0.008,0.0,0.011,0.0,0.007,0.0,1.683,0.0,1.936,0.0,1.245,0.0,0.439,0.0,-0.746,0.0,6.825,0.0,0.036,0.0,0.364,0.0,0.14,0.0,0.369,0.0,0.015,0.0,0.658,0.0,0.03,0.0,0.008,0,7,1745.1582,0.00213,1,0.0
