,Gaia2,Gmag,bp_rp,bp_g,g_rp,ra,de,PDis,plx,Sep,pmRA,pmDE,Age,e_Age,PreAge,e_PreAge,CoolAge,feh,DM,Av,Nb,PCont,l,b
37,99915890086770560,8.149528,0.8097873000000001,0.3397684,0.47001886,35.893255,22.457751,0.00725,12.629,2065.5878,162.024,-57.69,2.3080000000000003,0.5670000000000001,2.083,0.565,0.225,-0.772,4.494,0.005,7,0.0,149.35246134417415,-35.64294076194166
38,106403004395092480,17.927721,3.0417233,1.7647743000000002,1.2769489,35.122263000000004,26.140844,0.0029,4.828,2166.7502,56.286,-36.245,7.739,3.056,7.365,3.068,0.374,-0.91,6.757999999999999,0.071,7,0.0,146.7368207400089,-32.581604486626546
39,107517191926760960,10.870726,0.8046979999999999,0.33305168,0.4716463,32.392593,28.416338,0.00344,5.738,2158.1026,-11.315,-21.924,1.61,0.232,0.63,0.255,0.98,-0.675,6.422999999999999,0.266,7,0.0,143.08009003686703,-31.38028317277575
40,110863555567990400,12.037072,1.2049465,0.53646183,0.6684846999999999,47.3357,24.174748,0.00243,7.476,1170.5544,65.329,-42.645,10.93,1.845,9.884,1.849,1.045,-1.226,6.119,0.255,7,0.0,159.06241544304262,-28.85497212654025
41,110925540536001408,16.457253,2.5463305,1.3790798,1.1672506,49.062158,23.6823,0.00402,5.7570000000000014,2474.9214,-57.497,-46.44600000000001,5.728,2.18,5.377000000000002,2.185,0.35100000000000003,-0.8029999999999999,6.398,0.124,7,0.0,160.84719071531117,-28.32869868083149
42,115344202888681216,13.72483,2.297721,1.2136984,1.0840225,44.851832,26.54474,0.00305,12.588,871.6877,1.946,-34.56,2.937,0.21600000000000005,0.862,0.264,2.076,-0.647,5.073,0.102,7,0.0,155.4413126777437,-28.129741331462906
43,117132318033338368,15.420682,2.6294498,1.4475718000000002,1.1818781,51.04985,25.13106,0.0013,10.666,437.903,20.224,-69.32600000000001,7.511,2.175,6.214,2.186,1.297,-0.7929999999999999,5.318,0.076,7,0.0,161.4824356092965,-26.080194828290395
44,123169800805046016,11.887889,1.0775938,0.4731989,0.6043949000000001,46.214113,30.39157,0.02414,4.91,17702.8329,7.808,0.339,8.184,2.755,7.667000000000002,2.761,0.517,-0.91,7.098,0.021,7,0.172,154.27251462965,-24.239771833375357
45,124325494900784256,9.404836,0.7298174,0.30123615,0.42858124,50.752778,32.019428999999995,0.00244,9.274,913.9164,56.786,-13.251,4.663,1.934,4.561,1.931,0.102,-0.8340000000000001,5.1629999999999985,0.152,7,0.0,156.76318419049602,-20.7153615130618
46,129633524722336896,14.928173,2.5068579,1.3549671,1.1518908,41.527875,29.618099,0.00671,12.888,1875.2535,51.633,-87.34899999999998,1.247,0.112,0.5,0.115,0.746,-0.708,4.449,0.097,7,0.0,150.83269707430574,-26.96841205643929
47,131981703602215808,8.187314,1.0753341,0.48288536,0.5924486999999999,35.848608,30.16447800000001,0.02018,11.561,6285.1944,-16.031,-58.559,2.937,0.705,2.446,0.706,0.491,-0.765,4.953,0.098,7,0.035,145.55871830563018,-28.635443234842487
48,134991066928646656,15.991981,2.1202793,1.0764265,1.0438528,39.142435,34.633419,0.00225,4.619,1754.6,-8.203,-12.985,3.234,1.048,2.5810000000000004,1.062,0.652,-0.809,6.908,0.07200000000000001,7,0.0,146.32558084650063,-23.41793398258014
49,135682968979505792,16.556831,2.6066027000000003,1.4246674,1.1819353,46.701095,31.761784,0.01757,9.568,6677.8762,-77.743,-52.50899999999999,2.697,0.14,0.622,0.157,2.075,-0.789,5.095,0.08800000000000001,7,0.041,153.85322882167944,-22.860022463576986
50,137481632562096128,10.2031975,0.9666690999999998,0.41942883,0.54724026,48.003291,33.952257,0.00489,11.748,1500.0317,-19.805,-86.654,8.636000000000001,2.254,7.018,2.267,1.618,-0.889,5.132999999999999,0.129,7,0.0,153.56418494562678,-20.42645757787786
51,138001529765331584,15.291248,2.6349506000000003,1.4507313,1.1842194,48.902035,34.913719,0.0015,9.509,566.6272,-45.194,17.548,10.675,1.962,8.847999999999997,1.988,1.827,-1.165,5.825,0.08199999999999999,7,0.0,153.6592098239979,-19.215727104141735
52,143817499599533440,16.176576999999998,2.7910461,1.5723553,1.2186909,45.466937,40.505787,0.00134,9.516,506.7302,34.308,-64.809,2.016,0.34700000000000003,1.039,0.369,0.977,-0.6970000000000001,5.533,0.051,7,0.0,148.14714533684398,-15.894215776544122
53,144216313083034880,16.932489999999998,2.4052896,1.2691689,1.1361208,67.233527,20.334945,0.0037,4.493,2961.136,29.142,-49.352,8.1,2.583,7.022,2.597,1.078,-0.962,6.6960000000000015,0.02,7,0.002,176.70743449144058,-19.125815209405225
54,147971351449348480,10.621999,0.9680891,0.417655,0.5504340999999999,69.162385,25.285212,0.01017,8.55,4401.8642,46.24100000000001,-66.96600000000001,2.682,0.102,0.387,0.08199999999999999,2.295,-0.657,5.3420000000000005,0.093,7,0.008,173.9456766031975,-14.57807813057514
55,170548207820660864,14.935937,2.139803,1.1032572,1.0365458,60.695148,33.773315000000004,0.00168,6.075,945.481,-27.84,-1.885,2.133,0.276,0.963,0.28300000000000003,1.17,-0.777,6.107,0.066,7,0.0,162.366226739673,-14.070179638136072
56,175820709671930880,13.443001999999998,2.1171007,1.0904503,1.0266504,65.65535799999999,33.962293,0.00343,10.702,1177.8647,114.761,-117.514,2.309,0.141,0.613,0.151,1.695,-0.7240000000000001,4.853,0.069,7,0.0,165.23716240036126,-11.046154915724363
57,179017883326328576,14.497179,2.2554321,1.1845837,1.0708485,68.87389300000001,40.178218,0.00762,8.368,3276.5516,78.053,-67.398,3.4210000000000003,0.206,0.895,0.224,2.526,-0.6859999999999999,5.393,0.008,7,0.004,162.41703307756754,-4.928738953420713
58,184735996626896000,14.298051999999998,2.5692835,1.405776,1.1635075,75.427797,33.400868,0.00519,13.16,1415.3464,24.662,-53.06800000000001,1.394,0.258,0.975,0.258,0.419,-0.732,4.404,0.004,7,0.0,171.01178870018308,-5.237009109629106
59,190577461388303104,13.838541,1.1937037,0.53227806,0.6614256,82.055236,38.210315,0.00322,2.7880000000000003,4159.1655,13.485,-16.295,7.2189999999999985,2.648,6.97,2.644,0.249,-0.8759999999999999,7.857,0.046,7,0.006999999999999999,170.23332336617486,1.9296571989447795
60,192005963220544768,17.625929,2.7708187,1.5172671999999998,1.2535515,88.86345,40.787067,0.00081,5.8820000000000014,493.2663,-27.191,-4.067,0.941,0.08800000000000001,0.362,0.109,0.579,-0.7290000000000001,6.172999999999999,0.006999999999999999,7,0.0,170.78631780342002,7.752724075562594
61,192316064149303168,13.414597,1.9242458,0.96386147,0.96038437,88.455761,42.080002,0.00259,8.958,1031.5813,25.786,20.1,1.76,0.16,0.6729999999999999,0.57,,-0.768,5.239,0.113,7,0.0,169.4975631459895,8.121340460189526
62,194841397548482560,17.469458,3.3842907,2.0146751,1.3696156000000002,80.310218,41.130648,0.00097,8.533,408.3392,32.49,-86.62,2.412,0.16,0.6890000000000001,0.2,1.723,-0.722,5.3439999999999985,0.104,7,0.0,167.06034057942182,2.4571498455620424
63,201854258801564288,15.457034,2.6562328,1.411334,1.2448988,74.129327,41.521826,0.00119,10.094,423.2426,-35.792,-106.98,1.803,0.334,1.318,0.335,0.484,-0.727,4.981,0.049,7,0.0,163.97600581085467,-1.0327640229055426
64,203343100624935936,15.67766,2.617094,1.4415073,1.1755867,71.93948499999998,41.441306,0.0051600000000000005,12.679,1474.3135,-14.271,-109.799,5.183,0.184,0.537,0.138,4.646,-0.7140000000000001,4.485,0.087,7,0.0,162.99586485006722,-2.3510901155712856
65,207282994384681856,15.379058,1.9748716,0.99045086,0.9844208,79.872913,43.018818,0.01171,4.547,9270.7171,-5.907,22.495,2.745,0.488,1.46,0.513,1.286,-0.7290000000000001,6.7189999999999985,0.009000000000000001,7,0.077,165.3217098775131,3.2666368526034533
66,207900438882378624,16.278244,2.188055,1.1351318,1.0529232,82.944884,44.759339,0.0013800000000000002,2.667,1867.0615,16.768,-15.464,7.125,3.151,6.62,3.157,0.506,-0.938,8.265,0.155,7,0.0,165.10548371722894,6.074202222882312
