source_id,bp_rp,bp_g,g_rp
265001616763644928,2.077015,1.0606632,1.0163517
265568685590563328,2.1788092,1.123147,1.0556622
266260145262160640,2.4207506,1.2978954,1.1228552
267776887192982784,2.5461082,1.3843699,1.1617384
268123027195914368,3.0505352,1.7653847,1.2851505
268780152896815488,2.7732182,1.5469112,1.2263069
268798294838861696,2.6795788,1.3859081,1.2936707
270444371122977280,0.7643175,0.31516838,0.44914913
276898366943529472,1.3266344,0.6004553,0.7261791
277090609673089920,0.6932759,0.28979492,0.403481
278300209903575552,2.2758837,1.1914301,1.0844536
284161324137283840,2.872839,1.6195698,1.2532692
285359727387819904,2.7582827,1.538765,1.2195177
287738520794441984,2.8755693,1.633955,1.2416143
288287413318823168,2.5623255,1.4001255,1.1622
290678443086494848,2.0669289,1.0590992,1.0078297
291935150517280640,2.5275898,1.3804665,1.1471233
293251570878606336,2.975645,1.7276592,1.2479858
294738767729201792,2.7768106,1.5472279,1.2295828
299595276229449856,2.6371632,1.4471588,1.1900043
299602457414750848,2.1528072,1.1031017,1.0497055
299786728691719936,0.9250717,0.3894329,0.5356388
300356722391504128,2.531498,1.375639,1.155859
303805439395981312,2.5518818,1.3985138,1.153368
304578361710169728,2.657467,1.4442158,1.2132511
306640912380417024,1.596077,0.76000214,0.8360748
309159309404222592,1.2483816,0.5573549,0.6910267
309695836718764800,0.84120655,0.35243416,0.4887724
313907653448139520,2.0860338,1.0591469,1.0268869
313996198494092544,2.3655825,1.2538033,1.1117792
314036365028280832,0.5154257,0.19919872,0.31622696
317393345826469376,1.2935228,0.5810528,0.71247005
325238361290516736,1.6548147,0.79733753,0.8574772
325972079143921408,1.215497,0.54858875,0.66690826
330963788918445824,3.192253,1.8893738,1.3028793
331610237333827968,2.2666397,1.1917992,1.0748405
334969210996378880,2.2246075,1.0428944,1.1817131
335589438633323520,1.7273245,0.8431902,0.8841343
338094740299867008,1.2917147,0.59740925,0.6943054
338979267341825408,1.4490471,0.6734762,0.77557087
340111386361933056,2.2944317,1.2101707,1.084261
340393411093915008,2.469987,1.3367748,1.1332121
346662517158197376,2.0721617,1.0568981,1.0152636
348345663302119936,2.9479122,1.691185,1.2567272
348814330133475456,2.6722116,1.4858704,1.1863413
350786613475451264,2.5100822,1.369442,1.1406403
351894234001078656,1.9472828,0.96360207,0.9836807
352101698100846464,0.7921095,0.3206129,0.47149658
353839819826253184,2.7689028,1.5528641,1.2160387
355547150928668416,2.8096323,1.5702038,1.2394285
359863356841337216,0.61326885,0.2527218,0.36054707
361054471529017984,1.7150707,0.83063793,0.8844328
362614021398129408,0.6580677,0.26891613,0.38915157
363066715246799360,2.2239199,1.15907,1.0648499
364477251226742016,0.74292374,0.3034525,0.43947124
364889258848984064,2.423294,1.2935505,1.1297436
365324489359107712,0.95783234,0.41015434,0.547678
369966803546411904,2.1535902,1.1104355,1.0431547
370391283754527360,2.4700613,1.3219109,1.1481504
371742068148685824,1.1692209,0.515995,0.6532259
372515329765717760,2.6330376,1.4489079,1.1841297
374811767174987904,2.9780092,1.7090435,1.2689657
377531233091627264,2.671381,1.4354324,1.2359486
379965384333378304,2.429266,1.3035069,1.1257591
382590743223001216,2.4804945,1.3030949,1.1773996
383592020358523648,2.283615,1.1971865,1.0864286
384072335140683008,2.1914692,1.1349745,1.0564947
385453248730005760,2.0545788,1.0414505,1.0131283
386907936974379008,3.079956,1.7527657,1.3271904
388602112592758528,0.9906473,0.43105698,0.55959034
390019868412760832,0.22023869,0.12005472,0.100183964
390080925670330496,1.2070799,0.5425043,0.6645756
390689402277884544,2.3432465,1.2408581,1.1023884
390722009669426688,1.9022064,0.9477005,0.9545059
395377200164554368,3.043335,1.7466259,1.2967091
395932320399086464,1.5657387,0.73219776,0.8335409
396730394036872064,1.486722,0.6967802,0.7899418
397611927484416512,2.2988873,1.2049503,1.0939369
403816845261162752,3.0796566,1.7841148,1.2955418
404105363988125696,3.1606941,1.8007088,1.3599854
411443027851698304,1.0020885,0.425498,0.57659054
413040858770726784,3.349018,1.9431515,1.4058666
413058588395405312,2.1202497,1.0893011,1.0309486
414994995864762496,2.6513262,1.4603691,1.1909571
415938656017462528,2.26686,1.1868095,1.0800505
419990734325310976,2.7469063,1.5285244,1.2183819
420483143738322304,2.4858856,1.3290253,1.1568604
421909004161161088,2.1208572,1.0852785,1.0355787
424502752090156288,1.7378502,0.8439722,0.893878
426623916181315840,0.66842175,0.27213192,0.39628983
430268522348053632,2.2246218,1.1626911,1.0619307
433207924941246976,2.9635735,1.7014656,1.2621078
437400848111758080,0.74816036,0.30478287,0.4433775
439319598985602304,2.6792927,1.4653349,1.2139578
439320629777281152,2.3548422,1.256938,1.0979042
439717965790780928,2.7987347,1.5652466,1.2334881
446203228969064448,1.5777092,0.75257874,0.82513046
450744005831669376,2.703352,1.5092125,1.1941395
451109456009893376,2.6696978,1.4831257,1.1865721
455517325107520256,1.5907621,0.7687483,0.82201385
458263016105795328,2.4565802,1.3222046,1.1343756
458685159848885888,2.8356934,1.5650635,1.2706299
464093451386850944,3.244278,1.907547,1.336731
464440484744161536,2.6360016,1.4541645,1.1818371
468035578528132352,2.7592735,1.5494862,1.2097874
470826482635704064,2.9125776,1.6788883,1.2336893
472222209568212480,1.3624983,0.6305876,0.7319107
474935460668294272,2.1151342,1.0828495,1.0322847
475909112573142400,2.1725264,1.1205883,1.051938
476743362722655744,3.3380241,1.9863892,1.351635
481462677085635200,2.719967,1.5057278,1.2142391
481711269792340992,3.284483,1.9339848,1.3504982
482374344023447040,1.7222433,0.8333521,0.8888912
485084915063358208,2.734604,1.4927597,1.2418442
485472282454624640,2.6488018,1.4413071,1.2074947
489268934763478016,2.8078957,1.5526237,1.2552719
490320858154363776,2.9598284,1.7011509,1.2586775
